concentration_numeric,mean,std,count,condition
10.0,9.546875,10.683405648481198,16,before_no_adaptation
20.0,9.34375,12.59699865047226,16,before_no_adaptation
30.0,9.2578125,10.664628915055287,16,before_no_adaptation
40.0,4.953125,7.134551346557586,16,before_no_adaptation
50.0,4.7734375,11.348110961558023,16,before_no_adaptation
60.0,-1.2109375,10.19177760398875,16,before_no_adaptation
70.0,-4.640625,9.065028382930377,16,before_no_adaptation
80.0,-12.203125,9.394576782200817,16,before_no_adaptation
90.0,-19.1875,8.003645002955425,16,before_no_adaptation
100.0,-24.546875,8.230643327427893,16,before_no_adaptation
10.0,6.861111111111111,3.710969724518956,6,after_rf_weighted_retraining_10shot
20.0,7.333333333333333,13.324163513456794,6,after_rf_weighted_retraining_10shot
30.0,5.5,9.511980749443188,6,after_rf_weighted_retraining_10shot
40.0,3.2777777777777763,6.016335786531225,6,after_rf_weighted_retraining_10shot
50.0,6.916666666666668,10.72263960039691,6,after_rf_weighted_retraining_10shot
60.0,1.8888888888888868,6.689682492603951,6,after_rf_weighted_retraining_10shot
70.0,-2.5277777777777772,7.584645796070631,6,after_rf_weighted_retraining_10shot
80.0,-5.638888888888887,10.582699018611391,6,after_rf_weighted_retraining_10shot
90.0,-9.500000000000002,7.927448797970532,6,after_rf_weighted_retraining_10shot
100.0,-17.47222222222222,8.588375002594216,6,after_rf_weighted_retraining_10shot
