board,concentration_numeric,sample_id,PC1,PC2,regime,is_B1_high
B1,10,B1_GMe_F010_R1,11.75217140958559,-1.5083233357247532,low_<=30,False
B1,10,B1_GMe_F010_R2,12.921011620594324,-0.3199467092298831,low_<=30,False
B1,10,B1_GMe_F010_R3,10.433089657995112,0.24417127317334078,low_<=30,False
B1,10,B1_GMe_F010_R4,10.051301815160883,0.010666427785201873,low_<=30,False
B1,20,B1_GMe_F020_R1,7.848727609769813,-1.3184235816340983,low_<=30,False
B1,20,B1_GMe_F020_R2,10.023686124630208,6.077698464889591,low_<=30,False
B1,20,B1_GMe_F020_R3,5.7039158364649225,-0.7627543479904064,low_<=30,False
B1,20,B1_GMe_F020_R4,6.763245023910495,0.775802956920959,low_<=30,False
B1,30,B1_GMe_F030_R1,5.508559368113328,-0.5181180823999242,low_<=30,False
B1,30,B1_GMe_F030_R2,5.84524311533201,-2.263669318292342,low_<=30,False
B1,30,B1_GMe_F030_R3,4.033678077963131,2.2432681691473015,low_<=30,False
B1,30,B1_GMe_F030_R4,3.8138088986148646,1.0445169843709963,low_<=30,False
B1,40,B1_GMe_F040_R1,3.681604295636691,2.31677431403872,mid_40_70,False
B1,40,B1_GMe_F040_R2,4.7537773953454465,-0.13494027944278594,mid_40_70,False
B1,40,B1_GMe_F040_R3,0.5603230399192615,0.6614938047439808,mid_40_70,False
B1,40,B1_GMe_F040_R4,1.9141719585495867,1.7630006234260325,mid_40_70,False
B1,50,B1_GMe_F050_R1,1.5729502160252344,-1.020708107228766,mid_40_70,False
B1,50,B1_GMe_F050_R2,2.095642534340376,-3.6928238226645442,mid_40_70,False
B1,50,B1_GMe_F050_R3,-0.6003172725262553,0.6649278849332781,mid_40_70,False
B1,50,B1_GMe_F050_R4,0.2821341506438516,0.8941179580147531,mid_40_70,False
B1,60,B1_GMe_F060_R1,0.9771554236746065,0.8162491797451578,mid_40_70,False
B1,60,B1_GMe_F060_R2,1.9552661527855544,-1.014395181903024,mid_40_70,False
B1,60,B1_GMe_F060_R3,-1.70640566570526,1.1306412628105424,mid_40_70,False
B1,60,B1_GMe_F060_R4,-0.7134918303391973,1.7247662598533315,mid_40_70,False
B1,70,B1_GMe_F070_R1,-0.3942173198314996,1.0126949617481396,mid_40_70,False
B1,70,B1_GMe_F070_R2,1.5629505596628315,1.6365645159421305,mid_40_70,False
B1,70,B1_GMe_F070_R3,-2.778713379752978,0.06549340136938564,mid_40_70,False
B1,70,B1_GMe_F070_R4,-1.711601554465485,1.2466507805950917,mid_40_70,False
B1,80,B1_GMe_F080_R1,-1.1569585325131204,2.1222787009413118,high_>=80,True
B1,80,B1_GMe_F080_R2,-0.24047494723306556,0.18092797992711127,high_>=80,True
B1,80,B1_GMe_F080_R3,-3.969912019024599,1.1734293101297875,high_>=80,True
B1,80,B1_GMe_F080_R4,-3.113084805579474,0.8905458112134441,high_>=80,True
B1,90,B1_GMe_F090_R1,-1.9248832905937447,2.302157122685672,high_>=80,True
B1,90,B1_GMe_F090_R2,-0.7762717699516036,0.1067788958311758,high_>=80,True
B1,90,B1_GMe_F090_R3,-4.391279199254424,1.0332250880251554,high_>=80,True
B1,90,B1_GMe_F090_R4,-2.8120390575041108,2.070688930568634,high_>=80,True
B1,100,B1_GMe_F100_R1,-2.3704973724603233,1.7664394364820617,high_>=80,True
B1,100,B1_GMe_F100_R2,-1.1588343050423708,1.5212314003889265,high_>=80,True
B1,100,B1_GMe_F100_R3,-5.44274439911004,1.394010797298349,high_>=80,True
B1,100,B1_GMe_F100_R4,-3.995998341709745,1.1318201360525613,high_>=80,True
B2,10,B2_GMe_F010_R1,8.820718276181292,0.6061063608415952,low_<=30,False
B2,10,B2_GMe_F010_R2,9.662366762832027,-3.6354976895432602,low_<=30,False
B2,10,B2_GMe_F010_R3,11.814379112761806,0.863427298314625,low_<=30,False
B2,10,B2_GMe_F010_R4,8.302582363076729,-4.3870261581667,low_<=30,False
B2,20,B2_GMe_F020_R1,3.82687281586925,1.183664345806989,low_<=30,False
B2,20,B2_GMe_F020_R2,5.966283620423909,-2.1632014359796656,low_<=30,False
B2,20,B2_GMe_F020_R3,7.23393136979768,-1.355636565841806,low_<=30,False
B2,20,B2_GMe_F020_R4,4.706677585765905,-2.4799778285417595,low_<=30,False
B2,30,B2_GMe_F030_R1,2.8402096082707775,-0.7546367097144373,low_<=30,False
B2,30,B2_GMe_F030_R2,2.9342122423504335,-1.0462369764508657,low_<=30,False
B2,30,B2_GMe_F030_R3,4.965885420550637,2.266345611626056,low_<=30,False
B2,30,B2_GMe_F030_R4,1.1163580528753343,-2.378263505788664,low_<=30,False
B2,40,B2_GMe_F040_R1,1.3894263391428041,0.8222158812456202,mid_40_70,False
B2,40,B2_GMe_F040_R2,1.4203689154124637,1.1351303552567926,mid_40_70,False
B2,40,B2_GMe_F040_R3,2.228416808827426,0.4401486730819155,mid_40_70,False
B2,40,B2_GMe_F040_R4,-0.5273411696928578,-2.0898249293783193,mid_40_70,False
B2,50,B2_GMe_F050_R1,-0.9498507651214586,-0.11608707320112098,mid_40_70,False
B2,50,B2_GMe_F050_R2,-1.4657568145921276,-0.8260004663532428,mid_40_70,False
B2,50,B2_GMe_F050_R3,1.0203853129263805,-0.023821260568051766,mid_40_70,False
B2,50,B2_GMe_F050_R4,-1.9387559440849609,0.24963158683820044,mid_40_70,False
B2,60,B2_GMe_F060_R1,-1.5909955880739832,1.1753143059547266,mid_40_70,False
B2,60,B2_GMe_F060_R2,-1.9997795134638165,-0.5689561583739635,mid_40_70,False
B2,60,B2_GMe_F060_R3,-0.08460600701952116,1.1821007965823236,mid_40_70,False
B2,60,B2_GMe_F060_R4,-2.700567350237379,0.7430373074389636,mid_40_70,False
B2,70,B2_GMe_F070_R1,-2.785671577087042,0.9316215220147904,mid_40_70,False
B2,70,B2_GMe_F070_R2,-2.80642813189263,-0.6618618936465759,mid_40_70,False
B2,70,B2_GMe_F070_R3,-1.0771547008818896,0.0885781023253427,mid_40_70,False
B2,70,B2_GMe_F070_R4,-3.8660744760726296,-1.4723655172145587,mid_40_70,False
B2,80,B2_GMe_F080_R1,-3.8850168378691428,0.6443642901116029,high_>=80,False
B2,80,B2_GMe_F080_R2,-3.0472657465456123,2.515944150271088,high_>=80,False
B2,80,B2_GMe_F080_R3,-1.789716511798161,0.10289249144757263,high_>=80,False
B2,80,B2_GMe_F080_R4,-4.774370036595737,-0.7143736900043941,high_>=80,False
B2,90,B2_GMe_F090_R1,-4.31914373120489,-0.3459588914128772,high_>=80,False
B2,90,B2_GMe_F090_R2,-4.373881103084422,-0.09812886891500895,high_>=80,False
B2,90,B2_GMe_F090_R3,-2.453065280200754,2.025059729195665,high_>=80,False
B2,90,B2_GMe_F090_R4,-6.347688760413847,-1.3701946753835363,high_>=80,False
B2,100,B2_GMe_F100_R1,-6.911590324373292,-4.587494337673139,high_>=80,False
B2,100,B2_GMe_F100_R2,-5.342593778790031,-0.31350821392219047,high_>=80,False
B2,100,B2_GMe_F100_R3,-2.560022937476273,1.4874636902452563,high_>=80,False
B2,100,B2_GMe_F100_R4,-5.948541759579658,1.8770265503309413,high_>=80,False
B3,10,B3_GMe_F010_R1,8.71457118942523,-0.3401448006407163,low_<=30,False
B3,10,B3_GMe_F010_R2,9.43562652374485,0.7251780492371225,low_<=30,False
B3,10,B3_GMe_F010_R3,9.292786987497207,-0.25175188992217007,low_<=30,False
B3,10,B3_GMe_F010_R4,8.512215265023343,-1.1677850703124988,low_<=30,False
B3,20,B3_GMe_F020_R1,3.272084006205308,-1.9821153454985927,low_<=30,False
B3,20,B3_GMe_F020_R2,5.275152136634285,-0.6206739601072291,low_<=30,False
B3,20,B3_GMe_F020_R3,5.272876161602727,-1.2860543402925082,low_<=30,False
B3,20,B3_GMe_F020_R4,4.298486723848371,-1.0864805220114335,low_<=30,False
B3,30,B3_GMe_F030_R1,-1.805398227597374,-6.333909013001854,low_<=30,False
B3,30,B3_GMe_F030_R2,2.4734695310591803,1.2443634019185463,low_<=30,False
B3,30,B3_GMe_F030_R3,3.5450230476063305,1.6879183537254436,low_<=30,False
B3,30,B3_GMe_F030_R4,1.588283296776045,-0.22570197013529042,low_<=30,False
B3,40,B3_GMe_F040_R1,-2.5880816105243447,-1.7225740441508115,mid_40_70,False
B3,40,B3_GMe_F040_R2,0.1296913441891085,0.17069147032235232,mid_40_70,False
B3,40,B3_GMe_F040_R3,0.7665155947334712,-0.8274415096033438,mid_40_70,False
B3,40,B3_GMe_F040_R4,-0.12519066979855942,0.8488565133084174,mid_40_70,False
B3,50,B3_GMe_F050_R1,-3.353785119315663,-0.608913628924986,mid_40_70,False
B3,50,B3_GMe_F050_R2,-1.5607153862373193,-0.1280254386123228,mid_40_70,False
B3,50,B3_GMe_F050_R3,-0.44668956448733893,1.0523319759910412,mid_40_70,False
B3,50,B3_GMe_F050_R4,-1.7972305734745446,0.4683696072305737,mid_40_70,False
B3,60,B3_GMe_F060_R1,-5.324248317425586,-3.4868199378928115,mid_40_70,False
B3,60,B3_GMe_F060_R2,-3.090878288893762,-0.8394368732358932,mid_40_70,False
B3,60,B3_GMe_F060_R3,-1.6166332127667533,0.6672340531399696,mid_40_70,False
B3,60,B3_GMe_F060_R4,-2.990067676671275,1.4039060466835493,mid_40_70,False
B3,70,B3_GMe_F070_R1,-5.504998022489228,0.6087505668029753,mid_40_70,False
B3,70,B3_GMe_F070_R2,-3.3422952543367996,1.2190485992401756,mid_40_70,False
B3,70,B3_GMe_F070_R3,-2.4250919917087974,-0.2727777579124353,mid_40_70,False
B3,70,B3_GMe_F070_R4,-4.575326752992684,-0.13618701801973424,mid_40_70,False
B3,80,B3_GMe_F080_R1,-6.341588937259952,0.4020655544718798,high_>=80,False
B3,80,B3_GMe_F080_R2,-4.2038296487107045,1.2424565779490642,high_>=80,False
B3,80,B3_GMe_F080_R3,-3.148063447035053,0.5600637305195987,high_>=80,False
B3,80,B3_GMe_F080_R4,-4.9750564148916085,1.0110943188822694,high_>=80,False
B3,90,B3_GMe_F090_R1,-6.590421728211879,2.286958662408243,high_>=80,False
B3,90,B3_GMe_F090_R2,-4.462235061343734,1.3468952381957808,high_>=80,False
B3,90,B3_GMe_F090_R3,-4.215390448523395,0.27407922386145467,high_>=80,False
B3,90,B3_GMe_F090_R4,-6.203472290597469,-0.9271004298266813,high_>=80,False
B3,100,B3_GMe_F100_R1,-8.183452242687759,0.8018343479440156,high_>=80,False
B3,100,B3_GMe_F100_R2,-5.744995764490888,-0.08638060175264793,high_>=80,False
B3,100,B3_GMe_F100_R3,-5.334887594557778,1.448755056743354,high_>=80,False
B3,100,B3_GMe_F100_R4,-5.945721930985062,1.558114511979114,high_>=80,False
B4,10,B4_GMe_F010_R1,9.218819285165509,-1.5745879010088766,low_<=30,False
B4,10,B4_GMe_F010_R2,8.327648149399554,-0.056426411344983524,low_<=30,False
B4,20,B4_GMe_F020_R1,5.73084972866712,1.6783789267192328,low_<=30,False
B4,20,B4_GMe_F020_R2,3.9021846774938083,-1.2130706726092504,low_<=30,False
B4,30,B4_GMe_F030_R1,2.2393905435021892,0.7065864744251285,low_<=30,False
B4,30,B4_GMe_F030_R2,1.6724328599788305,-0.02059448640381831,low_<=30,False
B4,40,B4_GMe_F040_R1,0.4095347209466681,0.05491568578723247,mid_40_70,False
B4,40,B4_GMe_F040_R2,-0.9004859210165979,-0.5780553092542627,mid_40_70,False
B4,50,B4_GMe_F050_R1,-0.5861677881855596,1.1994374366070955,mid_40_70,False
B4,50,B4_GMe_F050_R2,-1.9238003951701748,0.5013777897731628,mid_40_70,False
B4,60,B4_GMe_F060_R1,-1.9263860120140375,1.0956593336607405,mid_40_70,False
B4,60,B4_GMe_F060_R2,-3.177305995928962,0.5914849138746308,mid_40_70,False
B4,70,B4_GMe_F070_R1,-2.570940576375993,4.089007380206206,mid_40_70,False
B4,70,B4_GMe_F070_R2,-4.272203658460524,0.8439530225347,mid_40_70,False
B4,80,B4_GMe_F080_R1,-4.56189605952132,-0.007429994489215787,high_>=80,False
B4,80,B4_GMe_F080_R2,-5.08157615457906,0.8645085431631286,high_>=80,False
B4,90,B4_GMe_F090_R1,-4.833813467432441,1.7941000800159228,high_>=80,False
B4,90,B4_GMe_F090_R2,-5.760871633824234,1.2996142342403882,high_>=80,False
B4,100,B4_GMe_F100_R1,-5.2086013436724565,1.9025312343617247,high_>=80,False
B4,100,B4_GMe_F100_R2,-6.0834258820432225,1.5629928371259634,high_>=80,False
B5,10,B5_GMe_F010_R1,9.140041835744787,-2.3724114239655902,low_<=30,False
B5,10,B5_GMe_F010_R2,8.184832415314524,-3.5088867701876576,low_<=30,False
B5,20,B5_GMe_F020_R1,4.734292286903139,0.2758747018867802,low_<=30,False
B5,20,B5_GMe_F020_R2,4.008319594005791,-0.6112838417734268,low_<=30,False
B5,30,B5_GMe_F030_R1,3.944541850203112,2.6295395587974646,low_<=30,False
B5,30,B5_GMe_F030_R2,0.296638077146605,-1.0084385222431747,low_<=30,False
B5,40,B5_GMe_F040_R1,-0.899810009256352,0.37515894127983446,mid_40_70,False
B5,40,B5_GMe_F040_R2,-1.3425730224980135,-1.5419442060725808,mid_40_70,False
B5,50,B5_GMe_F050_R1,-3.378688000037171,-41.51632291636687,mid_40_70,False
B5,50,B5_GMe_F050_R2,-2.3275899653703753,1.264218478885297,mid_40_70,False
B5,60,B5_GMe_F060_R1,-3.07895932268622,-0.9086440496264159,mid_40_70,False
B5,60,B5_GMe_F060_R2,-3.9177045059094255,-0.5108292942603543,mid_40_70,False
B5,70,B5_GMe_F070_R1,-4.150774924576501,0.7278431170782571,mid_40_70,False
B5,70,B5_GMe_F070_R2,-5.098451359238623,0.25650224413384703,mid_40_70,False
B5,80,B5_GMe_F080_R1,-7.148020740662812,-2.434241560920496,high_>=80,False
B5,80,B5_GMe_F080_R2,-3.9372947878193925,2.795073329723389,high_>=80,False
B5,90,B5_GMe_F090_R1,5.723989847222437,15.638664626150417,high_>=80,False
B5,90,B5_GMe_F090_R2,-6.285217690474815,1.4459195240639797,high_>=80,False
B5,100,B5_GMe_F100_R1,-8.135820387426861,0.3293538136050766,high_>=80,False
B5,100,B5_GMe_F100_R2,-7.126056880876687,-1.1781708456711135,high_>=80,False
