source_boards,mean_rmse,mean_centroid_dist,mean_cov_fro_dist,n_source_boards,includes_B5_source,n_targets
B4,11.675416529112232,6.80407268926938,26.174132893096996,1,False,4
B3+B4+B5,11.628442857956223,4.782420069063749,26.299359058985136,3,True,2
B2+B3+B4+B5,9.752294601784753,5.671207473680805,22.791209394116443,4,True,1
B3+B5,8.554852923073803,4.935077202899237,28.7866564426357,2,True,3
B1,8.392993663073447,7.06131810461377,28.060638534651275,1,False,4
B3+B4,8.11322961242026,5.779302119059775,34.998772360462006,2,False,3
B5,7.94436786320608,6.452263979409606,53.02678483165145,1,True,4
B2+B3+B4,7.4639236682541,6.295522795418748,57.26042337598018,3,False,2
B4+B5,7.215251595212614,4.980487557938651,37.38996765803128,2,True,3
B2+B3+B5,7.131795099943416,5.337684331059041,23.649275977606102,3,True,2
B1+B2,7.117335424631368,6.139725317466666,40.08620425111033,2,False,3
B3,7.068956569390363,5.862758219776789,28.405281958551637,1,False,4
B2+B4+B5,6.612859150356872,4.774635639237232,26.49461766254901,3,True,2
B2,6.609944085574156,5.879512694106736,28.173383810014943,1,False,4
B2+B3,6.46388679225909,6.02808662229904,39.94005207479841,2,False,3
B1+B5,6.386845601368951,4.604654108958129,30.56104881850895,2,True,3
B1+B3+B4+B5,6.372039753877874,3.349566271258361,23.529039091436193,4,True,1
B1+B4,6.37075684088883,5.936599330651276,37.34674735877488,2,False,3
B1+B2+B5,6.22390718896657,4.623654368097171,24.452292064222725,3,True,2
B2+B5,5.900712603036962,4.99883163716198,28.588978250084438,2,True,3
B2+B4,5.753424647605468,5.634632961961529,36.75273986087922,2,False,3
B1+B2+B4+B5,5.633028992025516,4.089344277969814,22.66803400879782,4,True,1
B1+B4+B5,5.199471108540028,4.001521117399234,27.324090755342556,3,True,2
B1+B3+B4,4.958826399199318,5.483765214752776,56.3426572472503,3,False,2
B1+B2+B3+B5,4.847202801616618,4.939436872512893,22.34853788845671,4,True,1
B1+B3+B5,4.727542580006838,4.044451236000974,24.887769352596226,3,True,2
B1+B2+B4,4.693585930065888,5.8480168827068955,56.92637681144689,3,False,2
B1+B3,4.442825618877215,5.534001108539979,39.66778131417817,2,False,3
B1+B2+B3,4.048267598867314,6.295416833492127,62.87122702483552,3,False,2
B1+B2+B3+B4,3.5204314366281877,6.961490022651061,120.76158405602092,4,False,1
