metric,pearson_r,pearson_p,spearman_rho,spearman_p
target_mean_nn_dist,-0.19088851784091632,0.10090122072195473,-0.16648648648648645,0.15341186615619865
target_mean_mahalanobis,-0.16643662612128254,0.1535367855846918,-0.0869701280227596,0.45812341255758565
source_trace,0.032222563922534427,0.7837466236919007,-0.08637268847795164,0.46122908681882474
target_p95_mahalanobis,-0.3292585280399229,0.00392079649659201,-0.06534850640113798,0.5775102063559152
target_containment_frac,0.010725179294853723,0.9272340947092659,-0.055465040946432585,0.6364717038009405
target_p95_nn_dist,-0.3313397199246392,0.0036866735439297395,-0.011493598862019913,0.9220364214584129
source_effective_rank,-0.012053639460186538,0.9182502868240415,-0.007808802283932191,0.9469866355040689
source_log_volume,-0.0015859252645296727,0.989225825126282,-0.0007681365576102418,0.9947814526215435
source_radius95,0.045377876863732694,0.6990652051435703,0.0042958748221906115,0.9708209590701624
centroid_dist_pca,0.14302283246577932,0.22090885183727244,0.018307645259756332,0.8761127004923457
