source_boards,n_source_boards,b5_source,mean_rmse,std_rmse,mean_source_log_volume,mean_source_trace,mean_target_containment,mean_target_nn_dist
B1+B2+B3+B4,4,False,3.5204314366281877,,6.330333844940601,42.6541034729367,0.0,9.048050394102823
B1+B2+B3,3,False,4.048267598867314,1.2435066931553422,6.665710167859588,43.877095844591224,0.0,7.465921013036487
B1+B3,2,False,4.442825618877215,1.2918485419631927,7.319445612263325,45.73311362883075,0.05833333333333333,6.691747009727728
B1+B2+B4,3,False,4.693585930065888,1.1296649322587105,5.873170087526962,41.537441067793566,0.0,7.353989038151257
B1+B3+B5,3,True,4.727542580006838,0.853500766516686,18.582194382972045,82.32730802267118,1.0,4.485306934193726
B1+B2+B3+B5,4,True,4.847202801616618,,16.691213850090193,68.88785124683767,1.0,4.987769042549944
B1+B3+B4,3,False,4.958826399199318,2.4520693271618224,7.3725135307405925,44.886985202084375,0.025,7.09633764504988
B1+B4+B5,3,True,5.199471108540028,0.42151187161822834,19.315416412985748,89.46695180921134,1.0,5.109304744815413
B1+B2+B4+B5,4,True,5.633028992025516,,17.40952005627549,72.2710902151865,1.0,4.286987722995859
B2+B4,2,False,5.753424647605468,2.0556270452075744,5.245442055248777,37.43072406601491,0.0,6.77962279437934
B2+B5,2,True,5.900712603036962,1.644428161106813,19.956316917309273,96.92930642041755,0.975,4.985707103026308
B1+B2+B5,3,True,6.22390718896657,0.639987192262881,18.22201350116125,78.6998959668189,1.0,4.7908631451909045
B1+B4,2,False,6.37075684088883,1.0776993603980038,4.8949532452728395,40.169256904828515,0.0,7.532605475275081
B1+B3+B4+B5,4,True,6.372039753877874,,17.678747837851596,74.79932880995524,1.0,3.887866107447492
B1+B5,2,True,6.386845601368951,1.6760212062832403,20.52334861568481,104.04915719103,1.0,5.582859009428634
B2+B3,2,False,6.46388679225909,3.6371586685609074,6.1772099737265345,40.166547249799876,0.0,6.824180545063906
B2,1,False,6.609944085574156,1.4153853853671703,4.15577919240214,34.0883734716046,0.0,6.59252103849945
B2+B4+B5,3,True,6.612859150356872,1.9242409776539808,18.791745517194787,83.79814100974562,0.975,4.171063418810089
B3,1,False,7.068956569390363,3.8654521977939957,6.273514873181668,38.40085526956328,0.0,6.8155630396545295
B1+B2,2,False,7.117335424631368,1.8879159289891931,5.387570771668699,40.82011583244112,0.0,6.860300036929261
B2+B3+B5,3,True,7.131795099943416,2.587919131241589,17.94575478009733,75.65122313072523,0.9625,4.579187604813844
B4+B5,2,True,7.215251595212614,3.9937702740233783,22.076180625166284,126.33898651371332,0.9833333333333334,6.169142174950615
B2+B3+B4,3,False,7.4639236682541,4.420529105656075,6.3761586226764155,39.979383628339406,0.0,7.175142720739753
B5,1,True,7.94436786320608,3.4613768703717636,25.637895955424852,197.1933232441473,1.0,7.499859030749356
B3+B4,2,False,8.11322961242026,5.37891355286739,6.712104401909262,39.82482059397827,0.0,6.954015771359153
B1,1,False,8.392993663073447,1.7845755318315695,3.5296691959052104,33.63561558490606,0.0,7.512132792021312
B3+B5,2,True,8.554852923073803,4.727749168141581,20.20932805969792,100.04376553565214,0.9666666666666667,5.250638897939951
B2+B3+B4+B5,4,True,9.752294601784753,,17.136516806296825,69.37216702704231,0.925,4.499353295462963
B3+B4+B5,3,True,11.628442857956223,3.272801116550442,18.901053169978788,84.95127509318336,0.9375,4.837105413698785
B4,1,False,11.675416529112232,3.7176326130541533,0.6554248193124644,25.628036601340092,0.0,7.864756577952397
