experiment,feature_set,model,rmse_mean,rmse_median,mae_mean,r2_mean
leave_one_out,combined,LinearRegression,155.6105786202325,110.72405062972062,140.88219538957145,-51.8676208807063
leave_one_out,combined,RandomForest,5.733894030618881,5.024068632592512,4.366874999999999,0.9561427916666666
leave_one_out,combined,XGBoost,6.007146462758643,5.378612630956802,4.480233111381531,0.9525135683253575
leave_one_out,physics,LinearRegression,76.30102198193826,34.029073183052425,60.95054496139062,-14.69124677881583
leave_one_out,physics,RandomForest,6.02499951718659,5.633028992025516,4.61325,0.9507078863636365
leave_one_out,physics,XGBoost,6.092960004078482,5.7565103492496075,4.574197793006897,0.9510467010997278
leave_one_out,raw,LinearRegression,71.96620397281515,63.39134031570017,68.85345697494384,-6.78220906940644
leave_one_out,raw,RandomForest,7.604154582500856,7.105163175466133,5.895375,0.9277805643939393
leave_one_out,raw,XGBoost,6.88724193581673,6.158908483676518,5.232008280754089,0.9401524139021656
single_source,combined,LinearRegression,180.88320426536967,134.6347383802576,153.2462666725448,-76.80292975018976
single_source,combined,RandomForest,8.497165291415989,7.675890351441451,6.6247187499999995,0.9007242225378788
single_source,combined,XGBoost,10.334038373071325,9.947388906605966,7.976417537927628,0.8544903477402972
single_source,physics,LinearRegression,186.3700731637942,156.97811195915637,156.89134492888226,-69.37097196548446
single_source,physics,RandomForest,8.338335742071255,7.777914102153153,6.70709375,0.9035197736742424
single_source,physics,XGBoost,10.245058376790848,9.367979844851988,8.248399672508238,0.8554158700380954
single_source,raw,LinearRegression,361.0523674797612,290.62567487647163,334.440159934878,-293.057411655432
single_source,raw,RandomForest,11.143720558291916,10.976348351838766,8.95534375,0.8403073248106061
single_source,raw,XGBoost,10.369929287457063,9.960133939628172,7.814782012701035,0.8613378787680237
