shots_per_concentration,n_adapt,n_holdout,method,rmse,mae,r2,accuracy_from_regression_bins,high_concentration_rmse,feature_mode,n_features
0,0,20,centroid_alignment,6.346327882005456,3.634842261904764,0.9511807544413092,0.8,11.225110408658752,physics,89
0,0,20,coral_alignment,6.346327882005456,3.634842261904764,0.9511807544413092,0.8,11.225110408658749,physics,89
0,0,20,linear_recalibration,6.346327882005456,3.634842261904764,0.9511807544413092,0.8,11.225110408658752,physics,89
0,0,20,mean_std_alignment,6.346327882005456,3.634842261904764,0.9511807544413092,0.8,11.225110408658752,physics,89
0,0,20,no_adaptation,6.346327882005456,3.634842261904764,0.9511807544413092,0.8,11.225110408658752,physics,89
0,0,20,residual_ridge,6.346327882005456,3.634842261904764,0.9511807544413092,0.8,11.225110408658752,physics,89
1,10,10,rf_retraining,2.610436917102535,1.9574226190476207,0.9917401443658523,1.0,3.227059702272479,physics,89
1,10,10,rf_weighted_retraining,2.6183743850854824,1.9798044128672623,0.9916898370660948,0.9,2.7641545928382887,physics,89
1,10,10,no_adaptation,3.3159655894675515,2.169250000000001,0.9866719663145056,0.8,5.78258009826313,physics,89
1,10,10,residual_ridge,3.7044601833985373,3.066513155999677,0.9833660299995332,0.8,1.9249954021104154,physics,89
1,10,10,mean_std_alignment,3.851066676176793,2.857940476190472,0.9820233763098675,0.8,4.810648319545516,physics,89
1,10,10,centroid_alignment,4.426242671663703,3.13239880952381,0.9762525767412646,0.8,6.033423223198067,physics,89
1,10,10,linear_recalibration,5.5111613719159855,4.674480057656723,0.9631843640396377,0.5,5.25764059026855,physics,89
1,10,10,coral_alignment,42.36499399845117,33.21591666666667,-1.175506323016732,0.2,70.11485320768809,physics,89
2,10,10,centroid_alignment,6.101859366360871,3.4508601190476136,0.954869469422005,0.8,10.768935629798593,physics,89
2,10,10,mean_std_alignment,6.168901079705914,3.5970386904761837,0.9538723145076402,0.8,10.894333356485385,physics,89
2,10,10,linear_recalibration,6.734718134979921,4.4727458957901245,0.9450225110816637,0.6,11.175924338581922,physics,89
2,10,10,residual_ridge,6.964311490383095,4.673574710462811,0.9412101399574764,0.7,11.385198573076906,physics,89
2,10,10,rf_weighted_retraining,7.892853683154957,3.9684134039979595,0.9244883160440087,0.8,14.19003232322663,physics,89
2,10,10,rf_retraining,7.922678663614878,4.181729166666665,0.9239165609613352,0.8,14.090057619357465,physics,89
2,10,10,no_adaptation,8.113898068464614,4.312327380952384,0.920199585617656,0.8,14.698337983012532,physics,89
2,10,10,coral_alignment,38.019206388250154,30.530517857142854,-0.7520727932028619,0.1,47.15956010532497,physics,89
5,10,10,mean_std_alignment,1.1718116834746843,0.9325416666666644,0.9983355847011784,1.0,1.4011488754933497,physics,89
5,10,10,centroid_alignment,1.1850231589098903,0.9523333333333317,0.9982978425610269,1.0,1.1487219019857833,physics,89
5,10,10,rf_retraining,2.425128313954539,2.002380952380952,0.9928712153464921,1.0,3.686312887500735,physics,89
5,10,10,rf_weighted_retraining,2.5148397300007717,2.013657103968442,0.9923340377362542,1.0,3.6382882266565977,physics,89
5,10,10,no_adaptation,3.41560143714656,2.3776666666666673,0.9858589900879544,0.8,5.9970882860175685,physics,89
5,10,10,residual_ridge,4.185337831170635,3.4436970394527555,0.9787672087745114,0.7,4.904532030151109,physics,89
5,10,10,linear_recalibration,4.74951332751144,3.8722622126541117,0.9726571189718681,0.7,4.208963244353133,physics,89
5,10,10,coral_alignment,30.04017293685535,24.03141071428572,-0.09383271524385028,0.1,21.127113616270883,physics,89
10,10,10,mean_std_alignment,1.0256384698485737,0.8453333333333287,0.9987249281565657,1.0,1.0628554688597824,physics,89
10,10,10,centroid_alignment,1.3037741122464035,1.0626250000000013,0.9979396037142256,1.0,1.204950088773475,physics,89
10,10,10,linear_recalibration,2.191420309936993,1.6211267822588353,0.9941790024547826,0.9,2.0858346748205285,physics,89
10,10,10,residual_ridge,2.439410232992726,1.8899526826572206,0.9927870032911156,1.0,3.6747129062544137,physics,89
10,10,10,rf_retraining,2.8879888961524527,2.302267857142854,0.9898903274372123,1.0,4.080369617367145,physics,89
10,10,10,rf_weighted_retraining,3.0731957018149676,2.2725850282758215,0.9885520826404194,0.8,4.317797889779861,physics,89
10,10,10,no_adaptation,3.8361896207572834,2.954857142857145,0.9821619990225383,0.8,5.9970882860175685,physics,89
10,10,10,coral_alignment,30.116646617191332,24.026755952380956,-0.09940897389670544,0.2,31.410767149042908,physics,89
