method,n_adapt,n_holdout,rmse,mae,r2,low_rmse,low_n,medium_rmse,medium_n,high_rmse,high_n,high_concentration_rmse,shots_per_concentration,nearest_bin_accuracy
day2_zero_shot_rf,0,20,6.3708152349106495,3.6197222222222223,0.9508032887789459,0.5921278197638336,8,2.9993386030462683,6,11.217282944735661,6,11.217282944735661,0,0.75
saturation_residual_linear,0,20,5.202690549177605,3.1627866806910876,0.967190316423634,1.7390729974591783,8,3.1738267444498183,6,8.72473230404422,6,8.72473230404422,0,0.9
saturation_residual_quadratic,0,20,5.199417700396623,2.711360627332532,0.9672315825173361,1.4368292469058788,8,3.0250308325120967,6,8.843624756097357,6,8.843624756097357,0,0.85
regime_split_rf_by_predicted_regime,0,20,7.913843600526132,4.923124999999998,0.9240861569289838,1.1529852557600215,8,6.850969166091696,6,12.65127621746342,6,12.65127621746342,0,0.7
day2_zero_shot_rf,10,10,4.613111786281981,2.946730158730161,0.9742050904815349,0.4247389357949756,4,3.1751661303101115,3,7.785485448529865,3,7.785485448529865,1,0.7
day3_like_mean_std_alignment,10,10,3.1937714413806,2.0210873015873068,0.9876361502790566,0.7435369676231446,4,1.9675293943876626,3,5.421465224935531,3,5.421465224935531,1,0.9
robust_median_iqr_alignment,10,10,6.002978226896432,4.834666666666671,0.9563203059483726,6.074074003500451,4,2.674281892765858,3,7.985917292334056,3,7.985917292334056,1,0.6
high_regime_mean_std_alignment,10,10,3.275482443948495,2.379682539682547,0.9869954118295579,3.448864771178562,4,2.579735168402891,3,3.639783828258568,3,3.639783828258568,1,0.8
source_plus_b5_1shot_rf,10,10,4.019178458142288,2.6525555555555522,0.9804196418443697,0.27109403407054483,4,3.9947515110171237,3,6.147353576360992,3,6.147353576360992,1,0.8
global_linear_recalibration,10,10,3.611149075469598,2.800127701814527,0.9841934573996789,1.3521786497597228,4,5.356423502202818,3,3.5126727641656332,3,3.5126727641656332,1,0.8
piecewise_linear_recalibration,10,10,3.264222918151627,2.456048409187704,0.9870846651401378,1.9327730022146594,4,4.423795375773549,3,3.3115540209674696,3,3.3115540209674696,1,0.8
saturation_residual_linear,10,10,3.296803667087107,2.5679366789033153,0.9868255582796134,1.6840180327578613,4,3.5946245852201755,3,4.418955364056359,3,4.418955364056359,1,0.9
saturation_residual_quadratic,10,10,2.9179803444387598,2.10133893438684,0.9896792614660231,1.2565020478335258,4,3.713028054208227,3,3.534174647941537,3,3.534174647941537,1,0.8
regime_split_rf_by_predicted_regime,10,10,6.353975953422122,4.496666666666662,0.9510630176767678,0.7105174659671964,4,8.78103952232265,3,7.536373986896495,3,7.536373986896495,1,0.7
